parameter,value,scenario,GWP,MSP,E_kWh,GWP_credited
price_rcf,10.0,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506671,0.1417969078846668
price_rcf,10.0,BC_A,0.16498946238170983,6.407026578011093,0.011296137050506671,0.15434505563074416
price_rcf,10.0,BC_B,0.14500432287050513,5.238172699971831,0.011296137050506671,0.13435991611953946
price_rcf,10.0,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506671,0.13833656098033187
price_rcf,10.0,LC3_B,0.14898096773129754,4.917450857251416,0.011296137050506671,0.13833656098033187
price_rcf,15.0,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506671,0.19894717732368145
price_rcf,15.0,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506671,0.19894717732368145
price_rcf,15.0,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506671,0.1417969078846668
price_rcf,15.0,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506671,0.1417969078846668
price_rcf,15.0,BC_A,0.16498946238170983,6.441727436292627,0.011296137050506671,0.15434505563074416
price_rcf,15.0,BC_B,0.14500432287050513,5.272873558253366,0.011296137050506671,0.13435991611953946
price_rcf,15.0,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506671,0.13833656098033187
price_rcf,15.0,LC3_B,0.14898096773129754,4.917450857251416,0.011296137050506671,0.13833656098033187
price_rcf,20.0,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506671,0.19894717732368145
price_rcf,20.0,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506671,0.19894717732368145
price_rcf,20.0,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506671,0.1417969078846668
price_rcf,20.0,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506671,0.1417969078846668
price_rcf,20.0,BC_A,0.16498946238170983,6.476428294574163,0.011296137050506671,0.15434505563074416
price_rcf,20.0,BC_B,0.14500432287050513,5.3075744165349,0.011296137050506671,0.13435991611953946
price_rcf,20.0,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506671,0.13833656098033187
price_rcf,20.0,LC3_B,0.14898096773129754,4.917450857251416,0.011296137050506671,0.13833656098033187
price_rcf,25.0,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506671,0.19894717732368145
price_rcf,25.0,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506671,0.19894717732368145
price_rcf,25.0,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506671,0.1417969078846668
price_rcf,25.0,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506671,0.1417969078846668
price_rcf,25.0,BC_A,0.16498946238170983,6.511129152855697,0.011296137050506671,0.15434505563074416
price_rcf,25.0,BC_B,0.14500432287050513,5.342275274816434,0.011296137050506671,0.13435991611953946
price_rcf,25.0,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506671,0.13833656098033187
